case_number,date,year,type,country,area,activity,fatal,species,pdf
2018.04.10.R,Reported 10-Apr-2018,2018,Invalid,BRAZIL,Alagoas,Fishing,N,Shark involvement not confirmed,2018.04.10.R-Paz.pdf
2018.04.09,09-Apr-2018,2018,Unprovoked,NEW CALEDONIA,,Windsurfing,N,2 m shark,2018.04.09-Magenta.pdf
2018.04.05,05-Apr-2018,2018,Unprovoked,BAHAMAS,,Swimming,N,Bull shark,2018.04.05-McConnell.pdf
2018.04.03,03-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,White shark,2018.04.03-StFrancisBay.pdf
2018.03.31,31-Mar-2018,2018,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,N,"Tiger shark, 12'",2018.03.31-Hawaii.pdf
2018.03.14,14-Mar-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Wading,N,Wobbegong shark,2018.03.14-WatermansBay.pdf
2018.03.09.b,9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Swimming,N,3.5 m shark,2018.03.09.b-Crossland.pdf
2018.03.09.a,9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Surfing,N,1.8 m shark,2018.03.09.a-Weight.pdf
2018.02.24,24-Feb-2018,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,N,Blacktip shark,2018.02.24-Polly.pdf
2018.02.23,23-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Swimming,N,"Juvenile white shark,  2.7 to 3.2 m",2018.02.23-Shurapey.pdf
2018.02.17,18-Feb-2018,2018,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,N,,2018.02.17-Palmer.pdf
2018.02.15,15-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Walking,N,"Bull shark, 2 m",2018.02.15-Hoare.pdf
2018.02.14,14-Feb-2018,2018,Invalid,AUSTRALIA,Queensland,Swimming,N,Possibly a wobbegong,2018.02.14-Babd.pdf
2018.02.11,11-Feb-2018,2018,Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,N,"Injury believed caused by an eel, not a shark",2018.02.11-Rosilda.pdf
2018.02.03,03-Feb-2018,2018,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,N,Galapagos shark?,2018.02.03-Newman.pdf
2018.02.01,01-Feb-2018,2018,Invalid,AUSTRALIA,Western Australia,Spearfishing,N,2m shark,2018.02.01-Martin.pdf
2018.01.28,28-Jan-2018,2018,Unprovoked,AUSTRALIA,Western Australia,,N,Bull shark,2018.01.28-ConeBay.pdf
2018.01.21,21-Jan-2018,2018,Unprovoked,NEW CALEDONIA,,Spearfishing,N,"Bull shark, 3 m ",2018.01.21-NewCaledonia.pdf
2018.01.14,14-Jan-2018,2018,Unprovoked,AUSTRALIA,Queensland,Diving,N,Grey reef shark. 2 m,2018.01.14-Vickers.pdf
2018.01.13,13-Jan-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Free diving,N,"White shark, 3.5 m",2018.01.13-Stewart.pdf
2018.01.12,12-Jan-2018,2018,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,N,small shark,2018.01.12-Bulhoes.pdf
2018.01.05,05-Jan-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,Wobbegong shark?,2018.01.05-Justin.pdf
2017.12.31,31-Dec-2017,2017,Unprovoked,USA,Hawaii,Surfing,N,Tiger shark,2017.12.31-Mariano.pdf
2017.12.30,30-Dec-2017,2017,Unprovoked,USA,California,Surfing,N,,2017.12.30.Jones.pdf
2017.12.21,21-Dec-2017,2017,Provoked,MALAYSIA,Sepang,Fishing / Wading,N,Juvenile nurse shark,2017.12.21-Harun.pdf
2017.12.09,09-Dec-2017,2017,Unprovoked,BAHAMAS,,Snorkeling,N,Nurse shark. 5',2017.12.09-Carroll.pdf
2017.11.30.b,30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,N,"Tiger shark, female",2017.11.30.b-Jimenez.pdf
2017.11.30.a,30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,Y,"Tiger shark, female",2017.11.30.a-Bhandari.pdf
2017.11.25.R,Reported 25-Nov-2017,2017,Sea Disaster,LIBYA,,2 boats capsized,Y,Some drowned but other may have been killed by blue sharks,2017.11.25.R-Libya.pdf
2017.11.24,24-Nov-2017,2017,Unprovoked,USA,California,Spearfishing,N,"White shark, 4.6 m",2017.11.24-Azatian.pdf
2017.11.18,18-Nov-2017,2017,Unprovoked,USA,Florida,Surfing,N,,2017.11.18-Anderson.pdf
2017.11.13.R,Reported 13-Nov-2017,2017,Unprovoked,,,Surfing,N,,2017.11.13.R-Timur.pdf
2017.11.13,13-Nov-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,2 m shark,2017.11.13-Fry.pdf
2017.11.04,04-Nov-2017,2017,Unprovoked,CUBA,Holquin Province,Night bathing,Y,Tiger shark,2017.11.04-Cuba.pdf
2017.10.31.R,Reported 31-Oct-2017,2017,Unprovoked,AUSTRALIA,Queensland,Snorkeling,N,Cookiecutter shark,2017.10.21.R-Tolley.pdf
2017.10.28,28-Oct-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Wobbegong shark, 1 m",2017.10.28-Birubi.pdf
2017.10.26,26-Oct-2017,2017,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,N,,2017.10.26-Oahu.pdf
2017.10.23.c,23-Oct-2017,2017,Unprovoked,MAURITIUS,Pamplemousses ,Swimming,N,,2017.10.23.c-Mauritius.pdf
2017.10.23.b,23-Oct-2017,2017,Unprovoked,USA,Florida,Surfing ,N,,2017.10.23.b-Hartl.pdf
2017.10.23.a,23-Oct-2017,2017,Unprovoked,USA,Florida,Swimming,N,,2017.10.23.a-Peteka.pdf
2017.10.22,22-Oct-2017,2017,Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,N,"White shark, 4.5 m",2017.10.22-Williams.pdf
2017.10.21,21-Oct-2017,2017,Unprovoked,NEW ZEALAND,North Island,Kayaking,N,2 m shark,2017.10.21-Lomas.pdf
2017.10.18,18-Oct-2017,2017,Unprovoked,USA,Florida,Swimming,N,"Spinner shark, 4 to 5 feet",2017.10.18-Iribam.pdf
2017.10.09,09-Oct-2017,2017,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 8 to 10 feet",2017.10.09-Milan.pdf
2017.10.05,05-Oct-2017,2017,Unprovoked,USA,Hawaii,Snorkeling,N,8' shark,2017.10.05-Hawaii.pdf
2017.10.01,01-Oct-2017,2017,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,UNKNOWN,Death may have been due to drowning,2017.10.01-Fick.pdf
2017.09.25.b,25-Sep-2017,2017,Unprovoked,USA,Florida,Surfing,N,5' shark,2017.09.25.b-White.pdf
2017.09.25.a,25-Sep-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,"White shark, 3.5 m",2017.09.25.a-Vissers.pdf
2017.09.24.b,24-Sep-2017,2017,Invalid,USA,New York,Surfing,UNKNOWN,Questionable,2017.09.24.b-Behrend.pdf
2017.09.24.a,24-Sep-2017,2017,Unprovoked,USA,Florida,Surfing,N,4' to 5' shark,2017.09.24.a-FortWorth.pdf
2017.09.20,20-Sep-2017,2017,Unprovoked,USA,Florida,Surfing,N,,2017.09.20-Inniss.pdf
2017.09.16.b,16-Sep-2017,2017,Unprovoked,SPAIN,Canary Islands,Body surfing,N,"Porbeagle, 1.5 m",2017.09.16.b-GrandCanary.pdf
2017.09.16.a,16-Sep-2017,2017,Unprovoked,USA,Florida,Surfing,N,,2017.09.16.a-Volusia.pdf
2017.09.15.b,15-Sep-2017,2017,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,UNKNOWN,,2017.09.15.b-Love.pdf
2017.09.15.a,15-Sep-2017,2017,,SAMOA, Upolu Island,Fishing,N,,2017.09.15.a-Samoa.pdf
2017.09.14,Sep-2017,2017,Boating,AUSTRALIA,Westerm Australia,Fishing,N,"White shark, 3.5m",2017.09.14-EsperanceBoats.pdf
2017.09.13,13-Sep-2017,2017,Unprovoked,USA,Florida,Surfing,N,5' to 6' shark,2017.09.13-Loyd.pdf
2017.09.10.b,10-Sep-2017,2017,Unprovoked,AUSTRALIA,Westerm Australia,Swimming,N,,2017.09.10.b-Samson.pdf
2017.09.10.a,10-Sep-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"White shark, 3 to 3.5m ",2017.09.10.a-McGrath.pdf
2017.09.06.R,Reported 06-Sep-2017,2017,Unprovoked,SOLOMON ISLANDS,,Spearfishing,N,,2017.09.06-Bartholomew.pdf
2017.09.03.b,03-Sep-2017,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching abalone",Y,,2017.09.03.b-Xelela.pdf
2017.09.03.a,03-Sep-2017,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,N,,2017.09.03.a-Japan.pdf
2017.09.02.c,02-Sep-2017,2017,Unprovoked,USA,Florida,Swimming,N,Nurse shark,2017.09.02.c-Maccarty.pdf
2017.09.02.b,02-Sep-2017,2017,Unprovoked,USA,Texas,Swimming,N,,2017.09.02.b-SouthPadre.pdf
2017.09.02.a,02-Sep-2017,2017,Unprovoked,USA,Florida,Surfing,N,,2017.09.02.a-Elmore.pdf
2017.08.29,29-Aug-2017,2017,Unprovoked,AUSTRALIA,Victoria,Surfing,N,"White shark, 3 m",2017.08.27-Brundler.pdf
2017.08.27,27-Aug-2017,2017,Unprovoked,USA,Florida,Wading,N,,2017.08.27-Veatch.pdf
2017.08.26.b,26-Aug-2017,2017,Invalid,SPAIN,Castellón,Swimming,UNKNOWN,Shark involvement questionable,2017.08.26.b-Spain.pdf
2017.08.26.a,26-Aug-2017,2017,Unprovoked,NEW ZEALAND,North Island,Canoeing,N,,2017.08.26.a-Kensington.pdf
2017.08.23,23-Aug-2017,2017,Unprovoked,USA,Massachusetts,SUP,N,"White shark, 5' to 7'",2017.08.23-Bigelow.pdf
2017.08.18,18-Aug-2017,2017,Unprovoked,BAHAMAS,,Spearfishing,N,5' shark,2017.08.18-JupiterDiver.pdf
2017.08.10,10-Aug-2017,2017,Unprovoked,USA,South Carolina,Swimming,N,Possibly a juvenile blacktip shark,2017.08.10-Suttle.pdf
2017.08.05,05-Aug-2017,2017,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,N,"Oceanic whitetip shark, 1.8 to 2 m",2017.08.05-Schachinger.pdf
2017.08.03,03-Aug-2017,2017,Provoked,USA,Massachusetts,Fishing,N,4' shark,2017.08.03-Massachusetts.pdf
2017.08.01,01-Aug-2017,2017,Boating,USA,California,Kayaking / Fishing,N,"White shark, 10'",2017.08.01-Conroy.pdf
2017.07.31,31-Jul-2017,2017,Unprovoked,USA,Florida,Skimboarding,N,,2017.07.31.pdf
2017.07.29.c,29-Jul-2017,2017,Invalid,USA,South Carolina,Swimming,UNKNOWN,A small shark,2017.07.29.c-Simatacolos.pdf
2017.07.29.a,29-Jul-2017,2017,Unprovoked,USA,South Carolina,,N,,2017.07.29.a-Georgetown.pdf
2017.07.27,27-Jul-2017,2017,Unprovoked,BAHAMAS,New Providence District,Snorkeling,N,,2017.07.27-Bahamas.pdf
2017.07.26.R,Reported 26-Jul-2017,2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,N,,2017.07.26.R-Massey.pdf
2017.07.24,24-Jul-2017,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,N,,2017.07.24-Matsu.pdf
2017.07.23.b,23-Jul-2017,2017,Unprovoked,USA,New Jersey,,N,Sandtiger shark  2',2017.07.23.b-Smith.pdf
2017.07.23.a,23-Jul-2017,2017,Unprovoked,SPAIN,Majorca,Swimming,N,Blue shark 6',2017.07.23.a-Majorca.pdf
2017.07.22,22-Jul-2017,2017,Unprovoked,USA,Florida,,N,"""A small shark""",2017.07.22-Keys.pdf
2017.07.20.c,20-Jul-2017,2017,Invalid,USA,South Carolina,Swimming,UNKNOWN,Shark involvement not confirmed,2017.07.20.c-Rogier.pdf
2017.07.20.b,20-Jul-2017,2017,Boating,USA,California,Kayaking,N,"White shark, 11' to 13'",2017.07.20.b-Jackson.pdf
2017.07.20.a,20-Jul-2017,2017,Unprovoked,USA,California,SUP,N,"White shark, 8' to 10'",2017.07.20.a-Geyling.pdf
2017.07.14.b,14-Jul-2017,2017,Unprovoked,USA,Washington,Surfing,N,"White shark, 9'",2017.07.14.b-Washington.pdf
2017.07.14.a,14-Jul-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,2017.07.14.a-Floreat.pdf
2017.07.11,11-Jul-2017,2017,Boating,USA,California,Kayaking,N,White shark,2017.07.11-Lawson.pdf
2017.07.09,09-Jul-2017,2017,Unprovoked,USA,Florida,Swimming,N,"Bull shark, 4' to 5'",2017.07.09-Lanza.pdf
2017.07.07.R,Reported 07-Jul-2017,2017,Provoked,MEXICO,Tabasco,Fishing,N,"Tiger shark, 100 kg",2017.07.07.R-Rodriguez.pdf
2017.07.07,07-Jul-2017,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"White shark, 2.5 m",2017.07.07-Stein.pdf
2017.07.02,02-Jul-2017,2017,Invalid,COMOROS,Anjouan,Fishing,UNKNOWN,Shark involvement prior to death not confirmed,2017.07.02-Comoros.pdf
2017.06.29,29-Jun-2017,2017,Invalid,USA,South Carolina,Fishing,UNKNOWN,No shark invovlement ,2017.06.29-Wrightsville.pdf
2017.06.21,21-Jun-2017,2017,Unprovoked,USA,South Carolina,Swimming,N,,2017.06.21-Wallhauser.pdf
2017.06.19,19-Jun-2017,2017,Unprovoked,USA,Florida,Surfing,N,,2017.06.19-SingerIsland.pdf
2017.06.18.b,18-Jun-2017,2017,Unprovoked,USA,South Carolina,Swimming,N,"Bull shark, 4' to 5'",2017.06.18.b-Readnour.pdf
2017.06.18.a,18-Jun-2017,2017,Unprovoked,REUNION,,Body boarding,N,"Bull shark, 2m",2017.06.18.a-Reunion.pdf
2017.06.17,17-Jun-2017,2017,Unprovoked,SPAIN,Ibiza Island,Swimming,N,,2017.06.17-Spain.pdf
2017.06.05,2017.06.05,2017,Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,N,,2017.06.05-FrenchPolynesia.pdf
2017.06.14.R,Reported 14-Jun-2017,2017,Unprovoked,BAHAMAS,,Feeding sharks,N,,2017.06.14.R-Carly.pdf
2017.06.11,11-Jun-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Body boarding,N,"White shark, 4 m",2017.06.11-Goff.pdf
2017.06.10.b,10-Jun-2017,2017,Unprovoked,AUSTRALIA,Victoria,Surfing,N,Seven-gill shark,2017.06.10.b-Flinders.pdf
2017.06.10.a,10-Jun-2017,2017,Unprovoked,USA,Florida,Surfing,N,,2017.06.10.a-Brock.pdf
2017.06.07.R,Reported 07-Jun-2017,2017,Unprovoked,UNITED KINGDOM,South Devon,Surfing ,N,"3m shark, probably a smooth hound",2017.06.07.R-Thomson.pdf
2017.06.04,04-Jun-2017,2017,Unprovoked,USA,Florida,Spearfishing,N,8' shark,2017.06.04-Simpson.pdf
2017.06.02,02-Jun-2017,2017,Unprovoked,BAHAMAS,New Providence ,Snorkeling,N,Tiger shark,2017.06.02-Johnson.pdf 
2017.05.30,30-May-2017,2017,Provoked,USA,South Carolina,Touching a shark,N,3' shark,2017.05.30-Higgins.pdf
2017.05.28,28-May-2017,2017,Unprovoked,USA,Florida,Feeding sharks,N,Tiger shark,2017.05.28-Jordan.pdf
2017.05.27,27-May-2017,2017,Invalid,AUSTRALIA,New South Wales,Fishing ,N,,2017.05.27-Selwood.pdf
2017.05.12,12-May-2017,2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,N,,2017.05.12-Beloushi.pdf
2017.05.06.R,Reported 06-May-2017,2017,Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,N,9' shark,2017.05.06.R-Neille.pdf
2017.05.06,05-May-2017,2017,Unprovoked,MEXICO,Baja California Sur,Snorkeling,Y,,2017.05.06-Rozada.pdf
2017.05.03,03-May-2017,2017,Invalid,USA,California,Surfing,UNKNOWN,Shark involvement highly doubtful,2017.05.03-Raab.pdf
2017.04.29.d,29-Apr-2017,2017,Unprovoked,USA,California,Swimming,N,,2017.04.29.d-Ericson.pdf
2017.04.29.c,29-Apr-2017,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,N,,2017.04.29.c-Plett.pdf
2017.04.29.b,29-Apr-2017,2017,Unprovoked,USA,South Carolina,Surfing,N,,2017.04.29.b-Dyar.pdf
2017.04.29.a,29-Apr-2017,2017,Unprovoked,REUNION,Saint-Leu,Body boarding,Y,,2017.04.29.a-Dubosc.pdf
2017.04.27,27-Apr-2017,2017,Unprovoked,NEW ZEALAND,South Island,Body boarding,N,,2017.04.27-NZ.pdf
2017.04.26,26-Apr-2017,2017,Invalid,USA,Florida,Photo shoot,UNKNOWN,No shark invovlement - it ws a publicity stunt,2017.05.26-Cavelli.pdf
2017.04.22,22-Apr-2017,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Snorkeling,N,,2017.04.22-Gonsalves.pdf
2017.04.20,20-Apr-2017,2017,Invalid,USA,South Carolina,Swimming,UNKNOWN,Shark involvement not confirmed,2017.04.20-PawleysIsland.pdf
2017.04.17.b,17-Apr-2017,2017,Unprovoked,USA,Florida,,N,,2017.04.17.b-Volusia.pdf
2017.04.17.a,17-Apr-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,Y,White shark,2017.04.17.a Brouwer.pdf
2017.04.14,14-Apr-2017,2017,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 12'",2017.04.14-Baboo.pdf
2017.04.13,13-Apr-2017,2017,Unprovoked,USA,Florida,Surfing,N,,2017.04.13-Perry.pdf
2017.04.12.b,12-Apr-2017,2017,Unprovoked,USA,Florida,Surfing,N,,2017.04.12.b-Keyton.pdf
2017.04.12.a,12-Apr-2017,2017,Invalid,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,UNKNOWN,Shark involvement prior to death not confirmed,2017.04.12.a-Mairhuber.pdf
2017.04.11,11-Apr-2017,2017,Unprovoked,USA,Florida,Surfing,N,,2017.04.11-Oosterveld.pdf 
2017.04.10.b,10-Apr-2017,2017,Unprovoked,USA,Florida,Paddle boarding,N,,2017.04.10.b-Melbourne.pdf
2017.04.10.a,10-Apr-2017,2017,Unprovoked,USA,Florida,Swimming,N,,2017.04.10.a-Orr.pdf
2017.04.06,06-Apr-2017,2017,Unprovoked,USA,Florida,Swimming,N,,2017.04.07-Stephens.pdf
2017.04.05,05-Apr-2017,2017,Unprovoked,USA,Florida,Swimming,N,,2017.04.05-NSB.pdf
2017.04.02.b,02-Apr-2017,2017,Unprovoked,AUSTRALIA,Queensland,Kakaying,N,,2017.04.02.b-Kleiden.pdf
2017.04.02.a,02-Apr-2017,2017,Unprovoked,USA,Florida,Swimming,N,"Bull shark, 5' to 7'",2017.04.02.a-Taylor.pdf
2017.03.27,27-Mar-2017,2017,Unprovoked,USA,Florida,Surfing,N,,2017.03.27-NSB.pdf
2017.03.19,19-Mar-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Body boarding,N,,2017.03.19-Fernandez.pdf
2017.03.18,18-Mar-2017,2017,Boating,USA,California,Kayaking,N,White shark,2017.03.18-Correira.pdf
2017.03.11,11-Mar-2017,2017,Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,N,10' shark,2017.03.11-Reintegrado.pdf
2017.03.09,Reported 09-Mar-2017,2017,Unprovoked,BAHAMAS,Great Exuma,Washing hands,N,Lemon shark,2017.03.09-Keywood.pdf
2017.02.25,25-Feb-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,N,"Bull shark, 1.5",2017.02.25-WesternAustralia.pdf
2017.02.24,24-Feb-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,2017.02.24-Mandurah
2017.02.21,21-Feb-2017,2017,Unprovoked,REUNION,Saint-Andre,Body boarding,Y,,2017.02.21-Naussance.pdf
2017.02.17,17-Feb-2017,2017,Unprovoked,AUSTRALIA,Queensland,Spearfishing,N,,2017.02.17-Dickson.pdf
2017.02.11,11-Feb-2017,2017,Unprovoked,USA,Florida,Swimming,N,,2017.02.11-MelbourneBeach.pdf
2017.02.06.b,06-Feb-2017,2017,Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,N,Lemon shark pup,2017.02.06.b-Brazil.pdf
2017.02.06.a,06-Feb-2017,2017,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,N,Tiger shark,2017.02.06.a-Umhlanga-kayak.pdf
2017.02.01.b,01-Feb-2017,2017,Boating,USA,South Carolina,Tagging sharks,N,"White shark, female, 14'",2017.02.01.b-Boat.pdf
2017.02.01.a,01-Feb-2017,2017,Unprovoked,BAHAMAS,Bimini,Scuba Diving,N,Caribbean reef shark,2017.02.01.a-Vonk.pdf
2017.01.24,24-Jan-2017,2017,Unprovoked,BRAZIL,Pernambuco,Swimming,N,,2017.01.24-Andrade.pdf
2017.01.22,22-Jan-2017,2017,Unprovoked,USA,Florida,,N,,2017.01.22-VeroBeach.pdf
2017.01.21,21-Jan-2017,2017,Unprovoked,AUSTRALIA,Queensland,Scuba Diving,N,"Bull shark, 4 m",2017.01.21-MurrayIsland.pdf
2017.01.13.b,13-Jan-2017,2017,Unprovoked,AUSTRALIA,Queensland,Swimming,N,,2017.01.13.b-Clairview.pdf
2017.01.13.a,13-Jan-2017,2017,Unprovoked,USA,Florida,,N,,2017.01.13.a-JensenBeach.pdf
2017.01.09,09-Jan-2017,2017,Unprovoked,INDONESIA,Bali,Surfing,N,"Bull shark, 1 m",2017.01.09-Moore.pdf
2017.01.08.R,Reported 08-Jan-2017,0,Invalid,AUSTRALIA,Queensland,Spearfishing,UNKNOWN,Bull shark,2017.01.08.R-KerryDaniel.pdf
2017.01.05,05-Jan-2017,2017,Unprovoked,USA,Florida,Wading,N,,2017.01.05-Brevard.pdf
2017.01.03,03-Jan-2017,2017,Invalid,AUSTRALIA,New South Wales,Wading,UNKNOWN,Shark involvement not confirmed,2017.01.03-Collins.pdf
2016.12.27,27-Dec-2016,2016,Unprovoked,USA,Florida,Surfing,N,,2016.12.27-Davis.pdf
2016.12.24,24-Dec-2016,2016,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,N,a small shark,2016.12.24-Ningaloo.pdf
2016.12.19,19-Dec-2016,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,N,"White shark, 4 m",2016.12.19-Swart.pdf
2016.12.14,14-Dec-2016,2016,Unprovoked,AUSTRALIA,Western Australia,Free diving,N,,2016.12.14-Roberts.pdf
2016.12.11.b,11-Dec-2016,2016,Unprovoked,FRENCH POLYNESIA,Tuamotos,Fishing,N,,2015.12.11.b-Takapoto.pdf
2016.12.11.a,11-Dec-2016,2016,Invalid,USA,Florida,Surfing,UNKNOWN,Shark involvement not confirmed,2016.12.11.a-Garthwait.pdf
2016.12.06,06-Dec-2016,2016,Provoked,AUSTRALIA,New South Wales,Surf fishing,N,"Wobbegong shark, 2m",2016.12.06-Phillips.pdf
